t,u,xd,x,I
0.010000,-0.507596,0.001000,0.031125,-8.000000
0.020000,0.615570,0.002000,0.031038,-6.000000
0.030000,-0.537134,0.003000,0.030863,-11.000000
0.040000,0.618049,0.004000,0.031270,15.000000
0.050000,-0.531005,0.005000,0.031125,-4.000000
0.060000,0.611913,0.006000,0.031649,-8.000000
0.070000,-0.306015,0.007000,0.031474,-12.000000
0.080000,0.611917,0.008000,0.031765,24.000000
0.090000,-0.533493,0.009000,0.031707,9.000000
0.100000,0.321167,0.010000,0.032463,-4.000000
0.110000,0.031431,0.011000,0.032405,-4.000000
0.120000,0.505876,0.012000,0.032783,14.000000
0.130000,-0.443208,0.013000,0.032812,7.000000
0.140000,0.592236,0.014000,0.033190,0.000000
0.150000,-0.533510,0.014999,0.033132,15.000000
0.160000,0.592236,0.015999,0.033976,10.000000
0.170000,-0.125050,0.016999,0.033918,18.000000
0.180000,0.592235,0.017999,0.034470,15.000000
0.190000,0.034003,0.018999,0.034470,16.000000
0.200000,0.592235,0.019999,0.034819,13.000000
0.210000,0.589777,0.020998,0.034848,20.000000
0.220000,0.299750,0.021998,0.035052,31.000000
0.230000,0.582395,0.022998,0.035488,19.000000
0.240000,0.592239,0.023998,0.035605,20.000000
0.250000,-0.359979,0.024997,0.035925,22.000000
0.260000,0.621779,0.025997,0.036332,-13.000000
0.270000,0.579965,0.026997,0.036128,17.000000
0.280000,0.592273,0.027996,0.036477,6.000000
0.290000,0.592283,0.028996,0.036681,19.000000
0.300000,0.592294,0.029995,0.036710,31.000000
0.310000,0.592305,0.030995,0.036739,30.000000
0.320000,0.592318,0.031995,0.036768,-44.000000
0.330000,0.592331,0.032994,0.036943,45.000000
0.340000,0.582499,0.033993,0.037350,35.000000
0.350000,0.592355,0.034993,0.037554,9.000000
0.360000,0.396915,0.035992,0.037815,-53.000000
0.370000,-0.686358,0.036992,0.039735,39.000000
0.380000,-0.709863,0.037991,0.044331,2.000000
0.390000,-0.723555,0.038990,0.049247,-3.000000
0.400000,-0.663374,0.039989,0.054076,33.000000
0.410000,-0.636376,0.040989,0.057392,-123.000000
0.420000,-0.572389,0.041988,0.059952,59.000000
0.430000,-0.572418,0.042987,0.060941,-52.000000
0.440000,0.592914,0.043986,0.061028,52.000000
0.450000,-0.555201,0.044985,0.060999,-42.000000
0.460000,-0.558913,0.045984,0.062425,-2.000000
0.470000,-0.547841,0.046983,0.063588,9.000000
0.480000,0.592944,0.047982,0.064286,8.000000
0.490000,-0.561415,0.048980,0.064461,6.000000
0.500000,-0.479295,0.049979,0.065653,-13.000000
0.510000,0.592955,0.050978,0.065828,-18.000000
0.520000,-0.031621,0.051977,0.065799,32.000000
0.530000,-0.201010,0.052975,0.066119,3.000000
0.540000,0.583093,0.053974,0.066584,31.000000
0.550000,-0.558992,0.054972,0.066875,4.000000
0.560000,-0.271289,0.055971,0.068271,11.000000
0.570000,0.592954,0.056969,0.068737,5.000000
0.580000,-0.343738,0.057967,0.068708,17.000000
0.590000,0.586794,0.058966,0.069377,-4.000000
0.600000,-0.217081,0.059964,0.069551,15.000000
0.610000,0.592955,0.060962,0.070104,5.000000
0.620000,0.338643,0.061960,0.070191,7.000000
0.630000,-0.555359,0.062958,0.071006,25.000000
0.640000,0.592960,0.063956,0.072024,26.000000
0.650000,0.303369,0.064954,0.072024,38.000000
0.660000,-0.559085,0.065952,0.072926,-23.000000
0.670000,-0.592370,0.066950,0.074526,-2.000000
0.680000,-0.605959,0.067948,0.076445,19.000000
0.690000,-0.609700,0.068945,0.078831,32.000000
0.700000,-0.569072,0.069943,0.081129,22.000000
0.710000,0.583218,0.070940,0.082350,-42.000000
0.720000,-0.586356,0.071938,0.083049,26.000000
0.730000,-0.548174,0.072935,0.084707,-8.000000
0.740000,0.599267,0.073932,0.085230,-13.000000
0.750000,0.580784,0.074930,0.085143,15.000000
0.760000,0.580782,0.075927,0.085492,-2.000000
0.770000,-0.569170,0.076924,0.086336,9.000000
0.780000,0.583257,0.077921,0.087848,-8.000000
0.790000,0.480002,0.078918,0.088052,13.000000
0.800000,-0.559339,0.079915,0.088837,5.000000
0.810000,0.586955,0.080911,0.090059,-4.000000
0.820000,-0.575390,0.081908,0.090263,-43.000000
0.830000,-0.606235,0.082905,0.092182,21.000000
0.839999,-0.548330,0.083901,0.093986,-68.000000
0.849999,0.593170,0.084898,0.094539,-53.000000
0.859999,0.288250,0.085894,0.094539,-25.000000
0.869999,-0.579182,0.086890,0.095586,60.000000
0.879999,-0.565644,0.087886,0.097389,34.000000
0.889999,-0.238846,0.088882,0.098611,-29.000000
0.899999,0.593191,0.089878,0.099047,-38.000000
0.909999,-0.318471,0.090874,0.099106,43.000000
0.919999,-0.308362,0.091870,0.100007,-32.000000
0.929999,0.593187,0.092866,0.100647,23.000000
0.939999,-0.555844,0.093862,0.100793,-7.000000
0.949999,-0.565718,0.094857,0.102014,-3.000000
0.959999,0.427929,0.095853,0.103207,3.000000
0.969999,0.095158,0.096848,0.103527,3.000000
0.979999,-0.559578,0.097843,0.104225,9.000000
0.989999,0.593191,0.098838,0.105040,3.000000
0.999999,-0.003528,0.099833,0.105185,18.000000
1.009999,-0.555914,0.100828,0.106029,4.000000
1.019999,0.590726,0.101823,0.107076,26.000000
1.029999,-0.147234,0.102818,0.107250,21.000000
1.039999,0.573464,0.103813,0.108152,6.000000
1.049999,-0.085667,0.104807,0.108676,-4.000000
1.059999,-0.267392,0.105802,0.109839,-64.000000
1.069999,0.593183,0.106796,0.110654,-31.000000
1.079999,-0.555987,0.107790,0.111032,-14.000000
1.089999,0.573457,0.108784,0.112225,21.000000
1.099999,-0.575737,0.109778,0.112399,43.000000
1.109999,-0.583154,0.110772,0.114057,-17.000000
1.119999,-0.087078,0.111766,0.115628,10.000000
1.129999,0.573468,0.112760,0.116355,-32.000000
1.139999,0.569766,0.113753,0.116559,-27.000000
1.149999,-0.565935,0.114747,0.117402,-10.000000
1.159999,-0.015829,0.115740,0.118944,19.000000
1.169999,0.573458,0.116733,0.119439,-4.000000
